station_id,num_bikes
61,8949517
50,8834111
69,8677683
2,8676028
74,8541017
77,8334088
28,8059112
72,7815300
70,7731308
55,7567540
22,7559430
67,7037321
29,6953048
34,6850615
39,6735753
12,6237336
11,6119175
76,5987860
66,5932386
59,5860493
71,5839032
68,5776881
36,5644073
3,5570049
49,5487474
54,5475813
14,5465624
58,5460154
7,5410478
9,5288718
60,5216935
73,5154155
65,5147436
30,5139562
6,5030733
5,5010032
51,5003712
46,4991289
8,4957157
38,4912450
57,4890699
56,4882786
63,4877251
64,4820201
24,4801008
75,4791718
16,4758124
47,4734598
26,4716892
23,4694097
42,4605551
33,4572020
27,4413938
48,4378895
13,4342698
31,4296872
25,4271153
62,4177214
10,4166245
41,4066063
21,4046526
35,3924140
84,3826897
80,3710458
4,3613212
45,3544135
82,3515620
37,3449915
83,3379465
32,2646907
90,71046
88,31995
89,20346
91,13950
