hour_of_day,subscriber_type,count_trips_taken
0,Customer,437
0,Subscriber,1259
1,Customer,299
1,Subscriber,498
2,Customer,213
2,Subscriber,207
3,Customer,94
3,Subscriber,333
4,Customer,90
4,Subscriber,1183
5,Customer,205
5,Subscriber,4594
6,Customer,714
6,Subscriber,19116
7,Customer,1992
7,Subscriber,63908
8,Customer,4119
8,Subscriber,124880
9,Customer,4167
9,Subscriber,86097
10,Customer,4670
10,Subscriber,30218
11,Customer,6211
11,Subscriber,24501
12,Customer,6752
12,Subscriber,29630
13,Customer,6708
13,Subscriber,26321
14,Customer,6797
14,Subscriber,20793
15,Customer,7044
15,Subscriber,30380
16,Customer,7378
16,Subscriber,71622
17,Customer,7349
17,Subscriber,110983
18,Customer,5807
18,Subscriber,72381
19,Customer,3600
19,Subscriber,32984
20,Customer,2470
20,Subscriber,17022
21,Customer,1924
21,Subscriber,10904
22,Customer,1595
22,Subscriber,6748
23,Customer,1022
23,Subscriber,3775
